item_id,item_title,item_url,item_type,https_urls,http_urls
07e49eb148f84e80ac5475f8014358f2,testfromnb7,https://geosaurus.maps.arcgis.com/home/item.html?id=07e49eb148f84e80ac5475f8014358f2,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
686700f2063c4338a0fb58d7b6641ddf,testfromnb8,https://geosaurus.maps.arcgis.com/home/item.html?id=686700f2063c4338a0fb58d7b6641ddf,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
6d8da5722e6b4311ba77e24c1a30eb75,testfromnb9,https://geosaurus.maps.arcgis.com/home/item.html?id=6d8da5722e6b4311ba77e24c1a30eb75,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
7e728b845c8f4a5681047beb28c701f3,testfromnb10,https://geosaurus.maps.arcgis.com/home/item.html?id=7e728b845c8f4a5681047beb28c701f3,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
7c29a361881b4fdd8d1cb24a6304a1ba,testfromnb11,https://geosaurus.maps.arcgis.com/home/item.html?id=7c29a361881b4fdd8d1cb24a6304a1ba,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
3947b9d2b82b4da99960a7dec0f833e3,testfromnb12,https://geosaurus.maps.arcgis.com/home/item.html?id=3947b9d2b82b4da99960a7dec0f833e3,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
80b71124f66b4d89873d51742fcb0d5a,testfromnb13,https://geosaurus.maps.arcgis.com/home/item.html?id=80b71124f66b4d89873d51742fcb0d5a,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
c6a5894c711942c5b41c97f9666d554b,testfromnb14,https://geosaurus.maps.arcgis.com/home/item.html?id=c6a5894c711942c5b41c97f9666d554b,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
1306c4379bbd480ca7d5f651ecf7506a,testfromnb15,https://geosaurus.maps.arcgis.com/home/item.html?id=1306c4379bbd480ca7d5f651ecf7506a,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
d7cb257c7675434cb2d87d250c90bdce,testfromnb16,https://geosaurus.maps.arcgis.com/home/item.html?id=d7cb257c7675434cb2d87d250c90bdce,Web Map,"[""https://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer""]","[""http://wms.chartbundle.com/wms""]"
