CLUSTER_ID,Address,City,County,State,ZIP,ZIP4,Country
1,West Park Dr,Portsmouth,Rockingham County,New Hampshire,3801,,USA
2,176 South Rd,Londonderry,Rockingham County,New Hampshire,3053,3702,USA
3,270 Eliot Street,Natick,Middlesex County,Massachusetts,1760,5513,USA
4,40 Main Street,Stoneham,Middlesex County,Massachusetts,2180,3304,USA
